shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21,pair_22,pair_23,pair_24,pair_25
-134,214.86949729919434,214.65226274728775,216.3457880616188,215.5069546699524,217.76754504442215,217.35442680120468,216.95710790157318,217.46677953004837,215.30249708890915,217.824353992939,217.86808705329895,218.0136352777481,217.07900696992874,216.87505930662155,216.2103516459465,217.20288681983948,216.75645649433136,214.32770282030106,215.22035187482834,214.6291682124138,218.1338129043579,216.4336714744568,217.18085795640945,216.39742493629456,217.36018824577332,217.7315821647644
-133,214.84448462724686,214.64497488737106,216.40512412786484,215.50208574533463,217.79745930433273,217.36241286993027,217.00707638263702,217.46079403162003,215.3389409184456,217.80579936504364,217.85861045122147,218.019866168499,217.12487822771072,216.89245283603668,216.2351644039154,217.25195384025574,216.76756244897842,214.36318957805634,215.24695831537247,214.64785426855087,218.12670403718948,216.49577564001083,217.16279512643814,216.41118788719177,217.32910472154617,217.73119413852692
-132,214.81430965662003,214.63603270053864,216.47009932994843,215.5008133649826,217.82458502054214,217.36889171600342,217.0546885728836,217.45610719919205,215.38016843795776,217.7932665348053,217.8552307486534,218.02990692853928,217.16879904270172,216.91147470474243,216.26728802919388,217.29659378528595,216.77993005514145,214.40503668785095,215.27350068092346,214.66964173316956,218.11845070123672,216.5566337108612,217.15113413333893,216.42454278469086,217.29467475414276,217.72952389717102
-131,214.77975100278854,214.62658196687698,216.539997279644,215.50375366210938,217.84887796640396,217.3744434118271,217.09927427768707,217.4527473449707,215.42463958263397,217.786363363266,217.85797083377838,218.04388165473938,217.21000736951828,216.93120557069778,216.30530458688736,217.3350972533226,216.79395669698715,214.4521525502205,215.29898834228516,214.69437795877457,218.1097093820572,216.61606860160828,217.14700609445572,216.43615692853928,217.2589030265808,217.7269522547722
-130,214.74252033233643,214.61759853363037,216.61319488286972,215.5110626220703,217.87078416347504,217.37990242242813,217.14056080579758,217.45072615146637,215.47064900398254,217.78360360860825,217.86567825078964,218.06118696928024,217.24800103902817,216.950945854187,216.34720343351364,217.36635917425156,216.81002128124237,214.50354731082916,215.32235312461853,214.72273099422455,218.10100185871124,216.67425853013992,217.15152502059937,216.44480043649673,217.2237679362297,217.7232124209404
-129,214.70393562316895,214.61025828123093,216.6872638463974,215.52239298820496,217.89063793420792,217.3858718276024,217.17879617214203,217.45028424263,215.5155640244484,217.7835631966591,217.87691938877106,218.08084046840668,217.28257983922958,216.9699428677559,216.39152473211288,217.38958716392517,216.82845777273178,214.55787247419357,215.34366005659103,214.75514113903046,218.09320521354675,216.7302669286728,217.1647943854332,216.45076495409012,217.19095540046692,217.7179178595543
-128,214.66548174619675,214.60651379823685,216.75923204421997,215.53758788108826,217.90907835960388,217.39189618825912,217.2142255306244,217.45082658529282,215.55665242671967,217.78537088632584,217.8902634382248,218.10185021162033,217.31396573781967,216.98726230859756,216.4371216893196,217.40459024906158,216.84919279813766,214.61338180303574,215.36315441131592,214.79097771644592,218.08694070577621,216.78261506557465,217.18514889478683,216.45518803596497,217.16195458173752,217.71054500341415
-127,214.62831270694733,214.60868787765503,216.8265700340271,215.55644035339355,217.92704284191132,217.39744591712952,217.24660104513168,217.4516842365265,215.5917153954506,217.78805589675903,217.90438932180405,218.1233622431755,217.34233087301254,217.00203430652618,216.4831382036209,217.41228580474854,216.87164998054504,214.66857492923737,215.38126331567764,214.82885724306107,218.082357943058,216.8294089436531,217.21099972724915,216.45976305007935,217.1379932165146,217.70104521512985
-126,214.59378838539124,214.61917239427567,216.88705855607986,215.57897502183914,217.9452383518219,217.40189653635025,217.27544397115707,217.45262223482132,215.6191275715828,217.79087454080582,217.91787362098694,218.14467895030975,217.36755114793777,217.01316249370575,216.52904206514359,217.4135132431984,216.89454770088196,214.7214191555977,215.39817267656326,214.86785054206848,218.07952624559402,216.86938828229904,217.2407986521721,216.46669107675552,217.12008845806122,217.68910551071167
-125,214.56347239017487,214.6385709643364,216.93912303447723,215.60504806041718,217.96384954452515,217.4047273993492,217.30058562755585,217.45360791683197,215.6376902461052,217.7937971353531,217.92981678247452,218.1653636097908,217.3891783952713,217.02007550001144,216.5746408700943,217.40899640321732,216.91655761003494,214.77044868469238,215.41393023729324,214.90745604038239,218.07813954353333,216.90216279029846,217.27314245700836,216.4776834845543,217.108725130558,217.67446291446686
-124,214.53843992948532,214.6669979095459,216.98208343982697,215.63381153345108,217.98263150453568,217.4062558412552,217.3219707608223,217.4545699954033,215.64667457342148,217.79800462722778,217.93939244747162,218.18551927804947,217.4070326089859,217.02258610725403,216.6203066110611,217.40040665864944,216.93608701229095,214.81431990861893,215.42917597293854,214.94684982299805,218.0780338048935,216.9278593659401,217.30674666166306,216.49382305145264,217.10407358407974,217.6570507287979
-123,214.51943081617355,214.70403641462326,217.0153387784958,215.66437274217606,218.0015452504158,217.40680122375488,217.33916199207306,217.45516955852509,215.64656561613083,217.80484384298325,217.9462788105011,218.20509326457977,217.42154574394226,217.0217307806015,216.6665340065956,217.39009886980057,216.95179396867752,214.85140872001648,215.4445685148239,214.98503720760345,218.0789471268654,216.9463268518448,217.34064888954163,216.5154487490654,217.10658031702042,217.63730603456497
-122,214.50583094358444,214.7480109333992,217.0380191206932,215.69640123844147,218.02041679620743,217.40682500600815,217.35242372751236,217.45519191026688,215.63877737522125,217.8150069117546,217.95045906305313,218.2240589261055,217.43378722667694,217.01830518245697,216.71356403827667,217.37968385219574,216.96433341503143,214.88046514987946,215.46080911159515,215.02131938934326,218.08063942193985,216.95707923173904,217.3736419081688,216.54251527786255,217.11652421951294,217.61620372533798
