shift,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21
-6,216.60189759731293,219.46463948488235,216.60189759731293,219.46463948488235,217.27052414417267,215.43431913852692,217.74485355615616,216.08000016212463,216.2920771241188,216.35701894760132,216.34717804193497,215.34040653705597,216.10399109125137,217.00010627508163,215.78367692232132,217.62257838249207,216.70912647247314,216.42152851819992,216.58957332372665,215.27907925844193
-5,216.61225587129593,219.46289294958115,216.61225587129593,219.46289294958115,217.28626519441605,215.46726924180984,217.76189976930618,216.08752870559692,216.31027430295944,216.3927976489067,216.34429562091827,215.35870510339737,216.10688734054565,217.01548755168915,215.81592339277267,217.6510379910469,216.72176045179367,216.42492640018463,216.59820449352264,215.31276208162308
-4,216.63045579195023,219.46662819385529,216.63045579195023,219.46662819385529,217.3104636669159,215.51152580976486,217.78457629680634,216.1043791770935,216.33626061677933,216.43553739786148,216.34885853528976,215.38710099458694,216.11691111326218,217.0376809835434,215.859336912632,217.6831283569336,216.7402685880661,216.4377762079239,216.61290311813354,215.35497730970383
-3,216.657837331295,219.47735387086868,216.657837331295,219.47735387086868,217.34507310390472,215.56900596618652,217.81476497650146,216.13284313678741,216.3725346326828,216.48659074306488,216.3635152578354,215.42767989635468,216.13567566871643,217.0687757730484,215.91505843400955,217.7203398346901,216.7668957710266,216.46218049526215,216.63608080148697,215.4077941775322
-2,216.6963034272194,219.4968123435974,216.6963034272194,219.4968123435974,217.3919575214386,215.64169871807098,217.85474437475204,216.1756483912468,216.4218755364418,216.5478047132492,216.39133608341217,215.4830167889595,216.1652085185051,217.11123847961426,215.98447811603546,217.76474577188492,216.80400615930557,216.50028932094574,216.67048752307892,215.47374045848846
-1,216.74843382835388,219.52692902088165,216.74843382835388,219.52692902088165,217.45305174589157,215.73145347833633,217.90711241960526,216.2357822060585,216.4873759150505,216.62162899971008,216.4354281425476,215.5568779706955,216.20833611488342,217.16777908802032,216.06925332546234,217.81904566287994,216.854487657547,216.55440521240234,216.71970391273499,215.55554056167603
0,216.81762498617172,219.57007384300232,216.81762498617172,219.57007384300232,217.5302835702896,215.84072256088257,217.97463929653168,216.31671905517578,216.5726569890976,216.71101957559586,216.49941843748093,215.6538845896721,216.26866579055786,217.24135410785675,216.17162251472473,217.88649713993073,216.92212575674057,216.6270541548729,216.78788965940475,215.65654158592224
1,216.92437386512756,219.6360712647438,216.92437386512756,219.6360712647438,217.64768487215042,215.98658448457718,218.07122433185577,216.43624591827393,216.6974440217018,216.8368625640869,216.60414612293243,215.79100489616394,216.37065666913986,217.34783643484116,216.3088328242302,217.9779595732689,217.02321630716324,216.73978054523468,216.8896051645279,215.7911740541458
2,217.0551279783249,219.71979266405106,217.0551279783249,219.71979266405106,217.7857003211975,216.1579338312149,218.18802922964096,216.58298683166504,216.8485192656517,216.98280775547028,216.73528760671616,215.96109294891357,216.49702215194702,217.47652554512024,216.46994346380234,218.0897275209427,217.14851695299149,216.87693583965302,217.0180351138115,215.95215421915054
3,217.21469473838806,219.8241953253746,217.21469473838806,219.8241953253746,217.9474390745163,216.35783004760742,218.32860100269318,216.76123535633087,217.0296666622162,217.1533699631691,216.89690560102463,216.16883766651154,216.65309298038483,217.6315461397171,216.6592137813568,218.22614443302155,217.30289590358734,217.04188257455826,217.1780377626419,216.14426910877228
4,217.40829575061798,219.95239168405533,217.40829575061798,219.95239168405533,218.1366861462593,216.5898317694664,218.49699223041534,216.9755815267563,217.24445694684982,217.3535287976265,217.0938094854355,216.4186828136444,216.8446288704872,217.817273914814,216.88138008117676,218.39169454574585,217.4914255142212,217.2386953830719,217.37457245588303,216.3721531033516
5,217.64084887504578,220.1074919104576,217.64084887504578,220.1074919104576,218.3575439453125,216.85812216997147,218.69701528549194,217.23070526123047,217.4962983727455,217.58844774961472,217.33081364631653,216.71433568000793,217.07750922441483,218.0383003950119,217.14127695560455,218.59044086933136,217.71907550096512,217.4720811843872,217.61232805252075,216.64041584730148
6,217.9167440533638,220.29228883981705,217.9167440533638,220.29228883981705,218.61377102136612,217.16698104143143,218.9326856136322,217.53080588579178,217.78848576545715,217.86300492286682,217.61256366968155,217.0584181547165,217.356938123703,218.29878997802734,217.44355326890945,218.82613688707352,217.9902687072754,217.74706089496613,217.89570021629333,216.95341062545776
7,218.23968821763992,220.5090800523758,218.23968821763992,220.5090800523758,218.90862488746643,217.52036434412003,219.2073374390602,217.87917000055313,218.12363803386688,218.18157851696014,217.94281446933746,217.4524468779564,217.68712091445923,218.602374792099,217.79224491119385,219.10205298662186,218.30845826864243,218.068256855011,218.22769260406494,217.31482982635498
8,218.6116762161255,220.75908160209656,218.6116762161255,220.75908160209656,219.2444308400154,217.92104023694992,219.52303117513657,218.277501642704,218.50338751077652,218.54688358306885,218.32374691963196,217.89644134044647,218.07066482305527,218.95120614767075,218.18990409374237,219.41993880271912,218.67563301324844,218.43895268440247,218.6097011566162,217.72719222307205
9,219.0327104330063,221.04190224409103,219.0327104330063,221.04190224409103,219.6217069029808,218.37023371458054,219.88043177127838,218.72546535730362,218.92781388759613,218.95938515663147,218.75513583421707,218.38840997219086,218.50795978307724,219.3457013964653,218.63693857192993,219.78016024827957,219.09161001443863,218.86006689071655,219.0405940413475,218.19066840410233
10,219.49989193677902,221.35512310266495,219.49989193677902,221.35512310266495,220.03822767734528,218.8664983510971,220.27755397558212,219.22030967473984,219.39453387260437,219.41716438531876,219.2341747879982,218.92387741804123,218.99650084972382,219.78352999687195,219.13122421503067,220.1806674003601,219.55323141813278,219.32960945367813,219.51656526327133,218.70283871889114
11,220.0070972442627,221.69400811195374,220.0070972442627,221.69400811195374,220.48887586593628,219.4050362110138,220.70942622423172,219.75583213567734,219.8982993364334,219.91477984189987,219.75501304864883,219.49537867307663,219.529636323452,220.25907784700394,219.66695272922516,220.61656820774078,220.0541377067566,219.84201174974442,220.03069120645523,219.25781840085983
12,220.54440826177597,222.05122834444046,220.54440826177597,222.05122834444046,220.96515971422195,219.9767016172409,221.16760575771332,220.32180207967758,220.4300832748413,220.44288730621338,220.30809515714645,220.09202605485916,220.0967516899109,220.76275086402893,220.2339773774147,221.07952201366425,220.58418303728104,220.38751238584518,220.5725781917572,219.84538173675537
