overlap_fraction,overlap_percent,pair_name,expected_shift,best_shift,signed_error,abs_error,peak_corr,status
0.65,65.0,pair_00,70.0,69.0,-1.0,1.0,218.16301888227463,ok
0.65,65.0,pair_01,70.0,69.0,-1.0,1.0,218.15842986106873,ok
0.65,65.0,pair_02,70.0,70.0,0.0,0.0,219.36458438634872,ok
0.65,65.0,pair_03,70.0,69.0,-1.0,1.0,218.8624112010002,ok
0.65,65.0,pair_04,70.0,69.0,-1.0,1.0,218.27347987890244,ok
0.65,65.0,pair_05,70.0,68.0,-2.0,2.0,218.54090821743011,ok
0.65,65.0,pair_06,70.0,69.0,-1.0,1.0,218.71821850538254,ok
0.65,65.0,pair_07,70.0,68.0,-2.0,2.0,219.73069459199905,ok
0.65,65.0,pair_08,70.0,70.0,0.0,0.0,218.76741272211075,ok
0.65,65.0,pair_09,70.0,68.0,-2.0,2.0,218.00013196468353,ok
0.65,65.0,pair_10,70.0,69.0,-1.0,1.0,218.86984086036682,ok
0.65,65.0,pair_11,70.0,70.0,0.0,0.0,217.6156925559044,ok
0.65,65.0,pair_12,70.0,69.0,-1.0,1.0,219.46258360147476,ok
0.65,65.0,pair_13,70.0,70.0,0.0,0.0,218.33166390657425,ok
0.65,65.0,pair_14,70.0,69.0,-1.0,1.0,216.76704853773117,ok
0.66,66.0,pair_00,68.0,67.0,-1.0,1.0,218.67296808958054,ok
0.68,68.0,pair_00,63.99999999999999,63.0,-0.9999999999999929,0.9999999999999929,219.4948553442955,ok
0.7,70.0,pair_00,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,218.17547422647476,ok
0.7,70.0,pair_01,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,218.47717308998108,ok
0.7,70.0,pair_02,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.73767507076263,ok
0.7,70.0,pair_03,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,218.97560620307922,ok
0.7,70.0,pair_04,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,220.34434020519257,ok
0.7,70.0,pair_05,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.83613151311874,ok
0.7,70.0,pair_06,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,220.13382291793823,ok
0.7,70.0,pair_07,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.99903124570847,ok
0.7,70.0,pair_08,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,218.96313053369522,ok
0.7,70.0,pair_09,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.9157242178917,ok
0.7,70.0,pair_10,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.932310461998,ok
0.7,70.0,pair_11,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,220.2487091422081,ok
0.7,70.0,pair_12,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.329669713974,ok
0.7,70.0,pair_13,60.00000000000001,58.0,-2.000000000000007,2.000000000000007,218.77789950370789,ok
0.7,70.0,pair_14,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.37801015377045,ok
0.7,70.0,pair_15,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.78413313627243,ok
0.7,70.0,pair_16,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.75054836273193,ok
0.7,70.0,pair_17,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,218.28635144233704,ok
0.7,70.0,pair_18,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,218.61801129579544,ok
0.7,70.0,pair_19,60.00000000000001,58.0,-2.000000000000007,2.000000000000007,219.05121731758118,ok
0.7,70.0,pair_20,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,220.38100266456604,ok
0.7,70.0,pair_21,60.00000000000001,59.0,-1.000000000000007,1.000000000000007,219.1458049416542,ok
