shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10
25,216.1107405424118,220.33516025543213,218.33829230070114,216.9527336359024,215.06626570224762,217.87557137012482,218.68355804681778,215.30122190713882,215.26729613542557,217.0249903202057,217.5016092658043
26,215.82545167207718,220.20573753118515,218.1611145734787,216.7171552181244,214.77364087104797,217.66530227661133,218.49720484018326,215.01820158958435,214.9714548587799,216.79890447854996,217.27426433563232
27,215.59165161848068,220.10214990377426,218.0196471810341,216.52442508935928,214.53827261924744,217.49698758125305,218.3463295698166,214.7840473651886,214.73225927352905,216.61737716197968,217.08880931138992
28,215.4028261899948,220.0206237435341,217.90807437896729,216.36838138103485,214.3530095219612,217.36528235673904,218.22665721178055,214.5910894870758,214.54355746507645,216.47410827875137,216.94016706943512
29,215.2528277039528,219.9575610756874,217.82072937488556,216.2430595755577,214.21045470237732,217.2649648785591,218.134104013443,214.4326793551445,214.39955842494965,216.3630456328392,216.8237162232399
30,215.13586676120758,219.90961980819702,217.752656519413,216.14325404167175,214.10323458909988,217.19059520959854,218.064703643322,214.30346471071243,214.29447841644287,216.27859377861023,216.7353646159172
31,215.04646635055542,219.87382078170776,217.69972276687622,216.06450831890106,214.02483880519867,217.13696599006653,218.01468634605408,214.1994434595108,214.22238898277283,216.2157762646675,216.67117363214493
32,214.97988200187683,219.84765648841858,217.65852630138397,216.00303095579147,213.9694829583168,217.0991843342781,217.98050451278687,214.11748552322388,214.1774091720581,216.17049092054367,216.627487719059
33,214.93199694156647,219.82913744449615,217.62664675712585,215.95570182800293,213.93214011192322,217.07296246290207,217.9585137963295,214.05483615398407,214.15390902757645,216.13949006795883,216.60066604614258
34,214.89936178922653,219.8166069984436,217.6023749113083,215.91983073949814,213.9085649251938,217.05479180812836,217.94544976949692,214.00872039794922,214.1467255949974,216.11969232559204,216.58731192350388
35,214.87899434566498,219.80860948562622,217.58422499895096,215.89336848258972,213.89532029628754,217.04184383153915,217.93848663568497,213.97627037763596,214.15125292539597,216.1082385778427,216.58453446626663
36,214.8686407804489,219.80378359556198,217.57118248939514,215.87501466274261,213.8896399140358,217.03190129995346,217.93523102998734,213.9545207619667,214.16397643089294,216.10262143611908,216.5893862247467
37,214.86619180440903,219.80115395784378,217.5625035762787,215.86362051963806,213.88974863290787,217.02334856987,217.93368256092072,213.94053226709366,214.18203073740005,216.10061240196228,216.59981840848923
38,214.87000679969788,219.8000084757805,217.55725228786469,215.85797947645187,213.8943793773651,217.01510804891586,217.93224906921387,213.93205964565277,214.203144967556,216.10027849674225,216.61440938711166
39,214.8786437511444,219.7998262643814,217.55467689037323,215.85694164037704,213.90266513824463,217.0063686966896,217.9297187924385,213.9274387359619,214.22547847032547,216.100117623806,216.6319196820259
40,214.89070242643356,219.80024206638336,217.5540695786476,215.85929602384567,213.9136105775833,216.99631893634796,217.92529219388962,213.92587929964066,214.24763906002045,216.09918373823166,216.6515033841133
41,214.9050207734108,219.8009027838707,217.55463325977325,215.86351054906845,213.9262530207634,216.9842373728752,217.91858977079391,213.92708683013916,214.26865142583847,216.0967944264412,216.67284256219864
42,214.92064648866653,219.80137532949448,217.5556253194809,215.86851131916046,213.9395682811737,216.96921521425247,217.9094362258911,213.9306145310402,214.28775990009308,216.09208273887634,216.69550001621246
43,214.93669021129608,219.80124002695084,217.5568352341652,215.87346637248993,213.95214635133743,216.95060724020004,217.8980586528778,213.9356842637062,214.30433428287506,216.08454149961472,216.71880269050598
44,214.95210897922516,219.80008977651596,217.55827420949936,215.8776654601097,213.96249264478683,216.92829144001007,217.8850056529045,213.94113171100616,214.31800252199173,216.07415330410004,216.74179989099503
45,214.96588617563248,219.79757821559906,217.5598075389862,215.88105499744415,213.9694682955742,216.9027195572853,217.8709241747856,213.9461030960083,214.32840925455093,216.0614338517189,216.76353645324707
