shift,pair_00,pair_01,pair_02
-47,217.4152649641037,216.33972358703613,218.3285875916481
-46,217.403715133667,216.34611517190933,218.32595896720886
-45,217.39174848794937,216.35365641117096,218.32546359300613
-44,217.38011753559113,216.36204355955124,218.32777607440948
-43,217.36951112747192,216.37113124132156,218.33327585458755
-42,217.3605437874794,216.3807366490364,218.3418144583702
-41,217.35347998142242,216.3908880352974,218.352865755558
-40,217.3484638929367,216.40170115232468,218.3657209277153
-39,217.34555089473724,216.41346365213394,218.3797191977501
-38,217.344384431839,216.42641288042068,218.39386755228043
-37,217.34456288814545,216.44059801101685,218.40715128183365
-36,217.34552651643753,216.45590722560883,218.4187138080597
-35,217.34639990329742,216.47222352027893,218.42759555578232
-34,217.34619969129562,216.4889915585518,218.43311601877213
-33,217.34392327070236,216.50551491975784,218.43498367071152
-32,217.3390622138977,216.52120757102966,218.43328034877777
-31,217.331871509552,216.5355396270752,218.42829757928848
-30,217.32245469093323,216.54805773496628,218.4204021692276
-29,217.31100577116013,216.55841559171677,218.41005432605743
-28,217.29783535003662,216.5664644241333,218.398015499115
-27,217.2833302617073,216.57191908359528,218.385096013546
-26,217.26793438196182,216.57460743188858,218.3722180724144
-25,217.25215142965317,216.5746386051178,218.35986816883087
-24,217.23647886514664,216.57225799560547,218.34815001487732
-23,217.22125673294067,216.56774657964706,218.3369545340538
-22,217.20675987005234,216.561632335186,218.32608062028885
-21,217.1932109594345,216.55425518751144,218.3154330253601
-20,217.18080800771713,216.54593205451965,218.30504167079926
-19,217.16983598470688,216.53672355413437,218.2950803041458
-18,217.16064375638962,216.52651524543762,218.28561228513718
-17,217.15369361639023,216.5150135755539,218.27674156427383
-16,217.14895391464233,216.50167220830917,218.26852947473526
-15,217.14618319272995,216.48624521493912,218.2612315416336
-14,217.1449163556099,216.4689697623253,218.25517934560776
-13,217.1447777748108,216.45042556524277,218.25054270029068
-12,217.1453189253807,216.43144220113754,218.24745976924896
-11,217.14615273475647,216.4131247997284,218.2460253238678
-10,217.14681619405746,216.39632153511047,218.24592167139053
-9,217.14676594734192,216.3818331360817,218.2467259168625
-8,217.14561086893082,216.3701125383377,218.24792516231537
-7,217.14302587509155,216.36108297109604,218.2490553855896
-6,217.1386142373085,216.35439056158066,218.24955916404724
-5,217.13215678930283,216.34920525550842,218.2488026022911
-4,217.12379080057144,216.34455335140228,218.24637693166733
-3,217.1135122179985,216.3393555879593,218.24201756715775
-2,217.1012818813324,216.33222550153732,218.23569601774216
-1,217.08742821216583,216.32190144062042,218.22781610488892
0,217.07244843244553,216.3073144555092,218.2190670967102
1,217.08356392383575,216.31221055984497,218.22512412071228
2,217.0949922800064,216.31165271997452,218.23265266418457
3,217.10738861560822,216.30556643009186,218.24221056699753
4,217.12140077352524,216.29430681467056,218.25420266389847
5,217.13768601417542,216.2784708738327,218.26864582300186
6,217.15675580501556,216.2589595913887,218.28533005714417
7,217.1789876818657,216.23684191703796,218.30405908823013
8,217.2046564221382,216.2133526802063,218.32466238737106
9,217.23376739025116,216.18939018249512,218.34696066379547
10,217.2657092809677,216.16595911979675,218.3710618019104
11,217.29956859350204,216.14367812871933,218.39697951078415
12,217.33421045541763,216.12313014268875,218.42463195323944
