shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12
-155,217.65382307767868,216.02149802446365,217.1151511669159,216.04754334688187,216.81427252292633,215.03142166137695,218.10928535461426,215.16074150800705,216.78893250226974,215.18729799985886,215.9695885181427,215.27652978897095,214.2683756351471
-154,217.62748980522156,216.03857439756393,217.09936118125916,216.024532020092,216.83135443925858,215.03131461143494,218.12549376487732,215.16780787706375,216.79052239656448,215.1840250492096,216.0258184671402,215.24315559864044,214.2276400923729
-153,217.59947323799133,216.05322003364563,217.08279818296432,216.00295460224152,216.85285717248917,215.0398839712143,218.14504086971283,215.17961233854294,216.79521894454956,215.1861109137535,216.08312505483627,215.2150474190712,214.18243592977524
-152,217.57012778520584,216.06439435482025,217.0637362599373,215.9829649925232,216.8782076239586,215.0578305721283,218.16653591394424,215.19673949480057,216.8020562529564,215.19112825393677,216.14063042402267,215.19460129737854,214.13633036613464
-151,217.53989171981812,216.0710740685463,217.04088985919952,215.96540838479996,216.90623635053635,215.08386433124542,218.18911480903625,215.21920609474182,216.8093534708023,215.19666194915771,216.19691336154938,215.18200594186783,214.09232157468796
-150,217.50937414169312,216.0731366276741,217.01310068368912,215.95106047391891,216.9362923502922,215.1160973906517,218.2113248705864,215.24823147058487,216.81597900390625,215.20032262802124,216.24970698356628,215.1759843826294,214.05394929647446
-149,217.47961574792862,216.06958293914795,216.98091566562653,215.9397760629654,216.96812629699707,215.1520647406578,218.23170506954193,215.28363972902298,216.82214921712875,215.20046484470367,216.29697608947754,215.17424154281616,214.02370196580887
-148,217.4516482949257,216.06051301956177,216.9463815689087,215.93090671300888,217.0013445019722,215.1899110674858,218.25049102306366,215.32346385717392,216.8280532360077,215.19512552022934,216.33668053150177,215.17454308271408,214.00257635116577
-147,217.42655092477798,216.04570889472961,216.91308587789536,215.92388755083084,217.03531277179718,215.22796094417572,218.2680767774582,215.36682796478271,216.83440625667572,215.18310487270355,216.3669062256813,215.17507189512253,213.99032658338547
-146,217.40504640340805,216.02582567930222,216.88395595550537,215.9184318780899,217.0694162249565,215.2640688419342,218.28407299518585,215.41162860393524,216.8418568968773,215.16398680210114,216.38791644573212,215.17420601844788,213.98563104867935
-145,217.38734304904938,216.00255316495895,216.86127531528473,215.91451901197433,217.1026148200035,215.29596942663193,218.2981847524643,215.4546754360199,216.85138547420502,215.1381083726883,216.39959967136383,215.17040663957596,213.98753011226654
-144,217.37332344055176,215.97736823558807,216.8450630903244,215.9115812778473,217.1343371272087,215.3219244480133,218.31101870536804,215.4931378364563,216.8638660311699,215.10622972249985,216.40207487344742,215.16276663541794,213.9946637749672
-143,217.36250180006027,215.95194524526596,216.83412492275238,215.90824127197266,217.1649175286293,215.34192979335785,218.32331717014313,215.52546578645706,216.8793641924858,215.06973880529404,216.3965386748314,215.15026462078094,214.0059033036232
-142,217.35467785596848,215.92706632614136,216.8270058631897,215.9042785167694,217.19451582431793,215.35637718439102,218.3351680636406,215.55063384771347,216.89639055728912,215.0313462615013,216.38373237848282,215.13219314813614,214.01984107494354
