el_x1,el_x2,el_xc,el_y1,el_y2,el_yc,el_z1,el_z2,el_zc
0.014075,0.01395,0.01395,0,0.005,0,0,0,0
0.014375,0.01425,0.01425,0,0.005,0,0,0,0
0.014675,0.01455,0.01455,0,0.005,0,0,0,0
0.014975,0.01485,0.01485,0,0.005,0,0,0,0
0.015275,0.01515,0.01515,0,0.005,0,0,0,0
0.015575,0.01545,0.01545,0,0.005,0,0,0,0
0.015875,0.01575,0.01575,0,0.005,0,0,0,0
0.016175,0.01605,0.01605,0,0.005,0,0,0,0
0.016475,0.01635,0.01635,0,0.005,0,0,0,0
0.016775,0.01665,0.01665,0,0.005,0,0,0,0
0.017075,0.01695,0.01695,0,0.005,0,0,0,0
0.017375,0.01725,0.01725,0,0.005,0,0,0,0
0.017675,0.01755,0.01755,0,0.005,0,0,0,0
0.017975,0.01785,0.01785,0,0.005,0,0,0,0
0.018275,0.01815,0.01815,0,0.005,0,0,0,0
0.018575,0.01845,0.01845,0,0.005,0,0,0,0
0.018875,0.01875,0.01875,0,0.005,0,0,0,0
0.019175,0.01905,0.01905,0,0.005,0,0,0,0
